hidden_size,n_layers,learning_rate,normalized_output,Objective,loss,moving_average,weighting_scheme
1024,15,0.0001,True,MSELoss,dirichlet,2.0815505195059814e-06,[8.25241916e-06]
1024,15,0.0001,True,MSELoss,uniform,0.008427328430116177,[5.e+19]
1024,15,0.0001,True,L1Loss,dirichlet,0.0007449497352354228,[0.00093242]
1024,15,0.0001,True,L1Loss,uniform,0.0007558647193945944,[0.00090302]
1024,15,0.0001,False,MSELoss,dirichlet,1.9060483964494779e-06,[2.93443471e-06]
1024,15,0.0001,False,MSELoss,uniform,1.6834565030876547e-06,[1.96936295e-06]
1024,15,0.0001,False,L1Loss,dirichlet,0.0007299268618226051,[0.00082127]
1024,15,0.0001,False,L1Loss,uniform,0.0006328628514893353,[0.02202368]
1024,15,1e-05,True,MSELoss,dirichlet,2.1217028915998526e-06,[2.59657163e-06]
1024,15,1e-05,True,MSELoss,uniform,2.4015132567001274e-06,[3.09171556e-06]
1024,15,1e-05,True,L1Loss,dirichlet,0.00071590585866943,[0.0009511]
1024,15,1e-05,True,L1Loss,uniform,0.0006517119472846389,[0.00069912]
1024,15,1e-05,False,MSELoss,dirichlet,2.0495040189416613e-06,[2.22841669e-06]
1024,15,1e-05,False,MSELoss,uniform,1.94576909962052e-06,[2.32973755e-06]
1024,15,1e-05,False,L1Loss,dirichlet,0.0006885804468765855,[0.00081456]
1024,15,1e-05,False,L1Loss,uniform,0.0006380931008607149,[0.00081011]
1024,12,0.001,True,MSELoss,dirichlet,0.00709661515429616,[5.e+19]
1024,12,0.001,True,MSELoss,uniform,0.00805366039276123,[5.e+19]
1024,12,0.001,True,L1Loss,dirichlet,0.04431294649839401,[5.e+19]
1024,12,0.001,True,L1Loss,uniform,0.04665061831474304,[5.e+19]
1024,12,0.001,False,MSELoss,dirichlet,0.18840456008911133,[5.e+19]
1024,12,0.001,False,MSELoss,uniform,0.17882941663265228,[5.e+19]
1024,12,0.001,False,L1Loss,dirichlet,0.0008636547718197107,[0.00132734]
1024,12,0.001,False,L1Loss,uniform,0.0008170657674781978,[0.00087318]
1024,12,0.0001,True,MSELoss,dirichlet,2.3704410523350816e-06,[0.00265054]
1024,12,0.0001,True,MSELoss,uniform,0.008428696542978287,[5.e+19]
1024,12,0.0001,True,L1Loss,dirichlet,0.0005002595135010779,[86.73681491]
1024,12,0.0001,True,L1Loss,uniform,0.0007381586474366486,[0.00087419]
1024,12,0.0001,False,MSELoss,dirichlet,1.8042558167508105e-06,[4.9311806e-06]
1024,12,0.0001,False,MSELoss,uniform,1.610458639333956e-06,[2.85162689e-06]
1024,12,0.0001,False,L1Loss,dirichlet,0.0007343741599470377,[0.00097778]
1024,12,0.0001,False,L1Loss,uniform,0.0006224001408554614,[0.00069963]
1024,12,1e-05,True,MSELoss,dirichlet,3.2640539302519755e-06,[4.32626379e-06]
1024,12,1e-05,True,MSELoss,uniform,2.5805520635913126e-06,[3.25689494e-06]
1024,12,1e-05,True,L1Loss,dirichlet,0.000684561615344137,[0.00078216]
1024,12,1e-05,True,L1Loss,uniform,0.0006578160682693124,[0.00069297]
1024,12,1e-05,False,MSELoss,dirichlet,5.728086875933514e-07,[6.59057754e-07]
1024,12,1e-05,False,MSELoss,uniform,1.5713241054982063e-06,[3.24029121e-06]
1024,12,1e-05,False,L1Loss,dirichlet,0.0006733478512614965,[0.00073886]
1024,12,1e-05,False,L1Loss,uniform,0.0005135032115504146,[0.00063013]
1024,9,0.001,True,MSELoss,dirichlet,0.006527592893689871,[5.e+19]
1024,9,0.001,True,MSELoss,uniform,0.007920831441879272,[5.e+19]
1024,9,0.001,True,L1Loss,dirichlet,0.043942809104919434,[5.e+19]
1024,9,0.001,True,L1Loss,uniform,0.04602770134806633,[5.e+19]
1024,9,0.001,False,MSELoss,dirichlet,0.0998600572347641,[5.e+19]
1024,9,0.001,False,MSELoss,uniform,1.9522464275360107,[5.e+19]
1024,9,0.001,False,L1Loss,dirichlet,0.001143955858424306,[5.96046448e+12]
1024,9,0.001,False,L1Loss,uniform,0.0010996453929692507,[7.4505806e+11]
1024,9,0.0001,True,MSELoss,dirichlet,0.0013898034812882543,[4.77006169e+13]
1024,9,0.0001,True,MSELoss,uniform,0.008486215956509113,[5.e+19]
1024,9,0.0001,True,L1Loss,dirichlet,0.00047896531759761274,[0.00056498]
1024,9,0.0001,True,L1Loss,uniform,0.00045092790969647467,[0.00054999]
1024,9,0.0001,False,MSELoss,dirichlet,3.9203854385050363e-07,[1.80889469e-06]
